ScientistName,preparation,date,components,login,password
Цицеров Альберт Антонович,Небиволол,1820-01-05,Chemical_6 Chemical_48 Chemical_7,Цицеров_АА,fYBclVqyzO
Улерьянова Ксения Евгеньевна,Диклофенак,1523-11-17,Chemical_1 Chemical_14 Chemical_96,Улерьянова_КЕ,TiM5au8nHx
Ханмурзина Карина Игоревна,Енап,1309-08-18,Chemical_21 Chemical_1 Chemical_34,Ханмурзина_КИ,x7QHtbDBZ7
Гарская Евгения Никитична,Пилипен,1983-11-20,Chemical_2 Chemical_15 Chemical_11,Гарская_ЕН,5xr0NvFnTf
Гнетнев Григорий Денисович,Евалар солгар мультивитамини,1074-07-16,Chemical_12 Chemical_69 Chemical_99,Гнетнев_ГД,ytqUKZwZ1D
Бельцов Алексей Яковлевич,Ретардин,2011-04-09,Chemical_2 Chemical_23 Chemical_92,Бельцов_АЯ,hau4Tyye0y
Федурин Владимир Алексеевич,Амитриптилин,0982-10-20,Chemical_5 Chemical_75 Chemical_78,Федурин_ВА,1sCQBebBSK
Акацков Анатолий Кириллович,Бетаин,1567-02-19,Chemical_73 Chemical_17 Chemical_48,Акацков_АК,A5pdpRwoPb
Кумакова Жанна Борисовна,Лоразепам,1605-07-21,Chemical_70 Chemical_36 Chemical_6,Кумакова_ЖБ,f1EtGZwL8r
Кобызева Ольга Андреевна,Лантус,1198-01-23,Chemical_25 Chemical_64 Chemical_89,Кобызева_ОА,PM2Fd4xJgu
Кимятов Владимир Евгеньевич,Дектанол,1854-12-15,Chemical_43 Chemical_98 Chemical_34,Кимятов_ВЕ,35hd6MMUqb
Милавина Виолетта Аркадьевна,Росувастатин,1215-12-04,Chemical_40 Chemical_57 Chemical_47,Милавина_ВА,WWriqJwqUm
Манетов Павел Павлович,Бисакодил,0969-07-05,Chemical_11 Chemical_13 Chemical_51,Манетов_ПП,g1lXw8HGUB
Сайдакова Людмила Вадимовна,Мелоксикам,1620-02-12,Chemical_3 Chemical_23 Chemical_56,Сайдакова_ЛВ,ieAZGUEUVb
Туржанский Семён Антонович,Уоллтапс,1042-06-13,Chemical_18 Chemical_78 Chemical_92,Туржанский_СА,pwqt2IuiEH
Цыпушкина Елена Андреевна,Енап,1837-04-20,Chemical_77 Chemical_69 Chemical_1,Цыпушкина_ЕА,QH4tI4YI9v
Лунарева Ксения Алексеевна,Ранитидин,1382-08-04,Chemical_10 Chemical_97 Chemical_88,Лунарева_КА,lEzNK9QCGG
Ивлюшин Георгий Николаевич,Амоксициллин,1202-01-01,Chemical_85 Chemical_54 Chemical_72,Ивлюшин_ГН,Joe2LZx2LV
Гудашов Юрий Алексиевич,Ибупрофен,1736-03-19,Chemical_7 Chemical_9 Chemical_40,Гудашов_ЮА,v9xo1zvZqB
Чачкин Владислав Денисович,Небиволол,1474-01-02,Chemical_85 Chemical_98 Chemical_94,Чачкин_ВД,KtkvPCbMhw
Тайдаков Виталий Романович,Габапентин,1154-10-13,Chemical_10 Chemical_61 Chemical_4,Тайдаков_ВР,lEPqAQyxlh
Бояршинов Алексей Адамович,Ингавирин,1907-06-08,Chemical_32 Chemical_35 Chemical_22,Бояршинов_АА,JjWawQ6aGO
Докшукина Оксана Петровна,Пилипен,1491-03-01,Chemical_93 Chemical_32 Chemical_8,Докшукина_ОП,4uJyXKOnJY
Бганцева Клавдия Егоровна,Левофлоксацин,1306-02-15,Chemical_18 Chemical_16 Chemical_12,Бганцева_КЕ,3pqzAludUC
Чубокова Виолетта Валерьевна,Бактрим,1103-03-12,Chemical_6 Chemical_72 Chemical_15,Чубокова_ВВ,ngKib88v51
Голощапов Станислав Яковлевич,Азитромицин,1419-08-05,Chemical_17 Chemical_73 Chemical_39,Голощапов_СЯ,yHDabVhrWU
Лукьянцев Эдуард Евгеньевич,Оксикодон,1320-05-12,Chemical_40 Chemical_66 Chemical_81,Лукьянцев_ЭЕ,vmvWfuLTs5
Мазаркина Инна Сергеевна,Урсофальк,1174-11-25,Chemical_96 Chemical_27 Chemical_81,Мазаркина_ИС,xyDxWjQ8oH
Иманалин Борис Кириллович,Сульфасалазин,1684-08-28,Chemical_53 Chemical_71 Chemical_80,Иманалин_БК,Co80CwHGLp
Поканкина Марина Михайловна,Глюкозамин,1008-12-26,Chemical_2 Chemical_85 Chemical_55,Поканкина_ММ,XUbQkApqDl
Такинова Жанна Эдуардовна,Тикалиптин,1257-06-04,Chemical_2 Chemical_60 Chemical_35,Такинова_ЖЭ,cFG8s4wf3F
Клецкина Виктория Яковлевна,Ёжик,1800-08-04,Chemical_32 Chemical_18 Chemical_21,Клецкина_ВЯ,dyHyQx4rND
Космынин Константин Павлович,Мидокалм,1380-09-07,Chemical_63 Chemical_19 Chemical_25,Космынин_КП,vevabKFGjG
Курцапов Виктор Иванович,Витамин С,1104-12-05,Chemical_11 Chemical_22 Chemical_63,Курцапов_ВИ,9jEjVPSEiQ
Шарафанова Виктория Егоровна,Протоник,1004-04-20,Chemical_9 Chemical_97 Chemical_88,Шарафанова_ВЕ,nsi3W6ivzA
Лушаков Руслан Василиевич,Омепразол,1128-03-25,Chemical_12 Chemical_17 Chemical_62,Лушаков_РВ,Pp7MT5PU5S
Балченкова Оксана Вадимовна,Ранитидин,1438-04-13,Chemical_9 Chemical_16 Chemical_4,Балченкова_ОВ,gun5RjW2HZ
Комаровцев Михаил Максимович,Оксикодон,1424-12-02,Chemical_6 Chemical_45 Chemical_21,Комаровцев_ММ,nOFR1qhvpq
Машурцева Алена Кирилловна,Левотироксин,1548-02-02,Chemical_42 Chemical_6 Chemical_92,Машурцева_АК,omIDCSz4a5
Алшибекова Вероника Леонидовна,Преднизолон,1231-04-18,Chemical_64 Chemical_29 Chemical_68,Алшибекова_ВЛ,obe8tNOqhE
Карликов Федор Викторович,Ацетилсалициловая кислота,1340-05-22,Chemical_56 Chemical_36 Chemical_38,Карликов_ФВ,RbYu6lqSjB
Махначев Павел Максимович,Урсофальк,0903-09-18,Chemical_33 Chemical_5 Chemical_47,Махначев_ПМ,kF2leiVQ6m
Мухоткин Валентин Кириллович,Пилипен,1051-12-04,Chemical_41 Chemical_17 Chemical_15,Мухоткин_ВК,nzse7WttT8
Ведмедова Раиса Дмитриевна,Бетаин,1312-08-23,Chemical_78 Chemical_84 Chemical_23,Ведмедова_РД,MhIxeRVAUJ
Отовина Любовь Игоревна,Индометацин,1600-11-20,Chemical_44 Chemical_90 Chemical_85,Отовина_ЛИ,x6nseK3lWj
Алавердиев Степан Олегович,Росувастатин,1710-06-20,Chemical_8 Chemical_73 Chemical_53,Алавердиев_СО,TnxpXipeEA
Хотькова Виктория Игоревна,Сертралин,1015-01-18,Chemical_77 Chemical_22 Chemical_2,Хотькова_ВИ,reduag1nUM
Болхова Яна Никитична,Валидол,1988-08-09,Chemical_27 Chemical_66 Chemical_94,Болхова_ЯН,ouMvjJL4bG
Савыкин Геннадий Георгиевич,Тианептин,1002-05-22,Chemical_46 Chemical_14 Chemical_72,Савыкин_ГГ,1iCQr3iCtX
Бобова Марина Вадимовна,Виагра,1968-03-15,Chemical_33 Chemical_16 Chemical_31,Бобова_МВ,LPdbMepRJT
Будрецова Клавдия Вадимовна,Сертралин,1664-01-24,Chemical_61 Chemical_38 Chemical_92,Будрецова_КВ,tUvei0GUzx
Мятов Алексей Юриевич,Рамиприл,1425-08-18,Chemical_72 Chemical_56 Chemical_10,Мятов_АЮ,URyqZWA8kE
Кувецкая Валерия Леонидовна,Гидрохлоротиазид,1422-08-22,Chemical_17 Chemical_69 Chemical_59,Кувецкая_ВЛ,1IXaZ7I0uK
Буралкина Екатерина Аркадьевна,Омега-3 кислоты,1873-05-13,Chemical_72 Chemical_28 Chemical_90,Буралкина_ЕА,MCj9du9TsB
Хихеткин Артур Евгеньевич,Азитромицин,1705-12-14,Chemical_39 Chemical_80 Chemical_63,Хихеткин_АЕ,DTwoZCecx8
Майоркин Николай Фёдорович,Бисакодил,1587-07-04,Chemical_8 Chemical_2 Chemical_54,Майоркин_НФ,NPctIVeX7r
Кудисов Леонид Фёдорович,Триптаны,1862-02-05,Chemical_14 Chemical_99 Chemical_4,Кудисов_ЛФ,Fp7KrfK1io
Калмыков Эдуард Георгиевич,Лоразепам,1256-01-24,Chemical_59 Chemical_99 Chemical_20,Калмыков_ЭГ,zSfprdwUEF
Бетова Наталья Василевна,Дектанол,1422-04-20,Chemical_38 Chemical_61 Chemical_89,Бетова_НВ,tbku69m2H0
Искуснова Алла Максимовна,Золедроновая кислота,1269-06-24,Chemical_80 Chemical_10 Chemical_51,Искуснова_АМ,yBdnlXe5Ni
Ващугина Надежда Петровна,Метформин,1166-02-10,Chemical_11 Chemical_45 Chemical_38,Ващугина_НП,FX8uW0Z2aH
Каинкова Виктория Валерьевна,Амлодипин,1718-05-07,Chemical_3 Chemical_98 Chemical_89,Каинкова_ВВ,ov7e9XGBc4
Заиров Кирилл Максимович,Пропанолол,1288-01-06,Chemical_27 Chemical_70 Chemical_95,Заиров_КМ,yfq2WeEeeR
Хайзникова Дарья Сергеевна,Пилипен,1987-10-10,Chemical_97 Chemical_82 Chemical_99,Хайзникова_ДС,f5F3NyxIAq
Литвинцов Степан Яковлевич,Ниссан,1343-04-25,Chemical_57 Chemical_33 Chemical_36,Литвинцов_СЯ,K40cfkr4Hr
Кушаев Геннадий Игоревич,Диклофенак,1001-05-07,Chemical_16 Chemical_48 Chemical_94,Кушаев_ГИ,kabrydg7f4
Шинякова Светлана Егоровна,Зинорам,1157-11-16,Chemical_26 Chemical_5 Chemical_8,Шинякова_СЕ,7hcMl7ffsB
Федулин Альберт Иванович,Амоксиклав,1063-06-15,Chemical_78 Chemical_30 Chemical_55,Федулин_АИ,Fy7Q252d5n
Одноценова Мария Василевна,Бактрим,1426-04-13,Chemical_14 Chemical_19 Chemical_45,Одноценова_МВ,s07sjN2cNR
Любарцев Борис Викторович,Амитриптилин,1655-01-24,Chemical_81 Chemical_12 Chemical_93,Любарцев_БВ,qNhHrdweQc
Османова Екатерина Егоровна,Миртазапин,1509-03-03,Chemical_96 Chemical_72 Chemical_69,Османова_ЕЕ,Y6jN1q8lEx
Потрягина Кристина Романовна,Пропанолол,1060-03-02,Chemical_58 Chemical_14 Chemical_83,Потрягина_КР,xhcAfapkAT
Балуев Семён Антонович,Норматен,1662-11-07,Chemical_95 Chemical_58 Chemical_71,Балуев_СА,VzboA9w6Ca
Екимовский Владислав Фёдорович,Венолайфт,0926-06-22,Chemical_59 Chemical_56 Chemical_77,Екимовский_ВФ,sLcoeWfF0S
Шпанина Маргарита Максимовна,Пентоксифиллин,1432-09-20,Chemical_12 Chemical_22 Chemical_37,Шпанина_ММ,jJQc1v1aaY
Пошнагова Юлия Кирилловна,Железа препараты,1815-11-04,Chemical_61 Chemical_38 Chemical_2,Пошнагова_ЮК,h6IvVv1sUl
Кудинкова Ирина Михайловна,Кандесартан,1580-12-23,Chemical_90 Chemical_100 Chemical_60,Кудинкова_ИМ,3yZaIwGEjz
Водоморина Софья Яковлевна,Метопролол,1599-06-03,Chemical_33 Chemical_79 Chemical_68,Водоморина_СЯ,F7TqHk8kVi
Липезина Анна Алексеевна,Тианептин,1244-04-02,Chemical_17 Chemical_84 Chemical_70,Липезина_АА,PHT0Y3bYbD
Илалов Тарас Яковлевич,Допамин,1025-05-04,Chemical_51 Chemical_21 Chemical_67,Илалов_ТЯ,zarJVxmWl3
Лакушова Тамара Ивановна,Бетаин,1016-09-01,Chemical_91 Chemical_90 Chemical_42,Лакушова_ТИ,UuZBw4qufS
Ярмизина Алиса Богдановна,Живина,1120-09-19,Chemical_11 Chemical_15 Chemical_69,Ярмизина_АБ,StdPh0MFRL
Зулков Станислав Антонович,Валацикловир,1630-11-10,Chemical_7 Chemical_61 Chemical_87,Зулков_СА,QHVMqYaAEq
Кочурин Евгений Данилович,Транексамовая кислота,1574-01-11,Chemical_97 Chemical_25 Chemical_5,Кочурин_ЕД,3fr44t5q7X
Череватова Вероника Вадимовна,Кандесартан,0998-12-19,Chemical_39 Chemical_85 Chemical_90,Череватова_ВВ,t66febEdTf
Курьянская Любовь Федоровна,Железа препараты,1432-03-23,Chemical_31 Chemical_72 Chemical_15,Курьянская_ЛФ,l93h5z5s3U
Бачалдина Яна Максимовна,Урсофальк,1492-06-18,Chemical_16 Chemical_96 Chemical_33,Бачалдина_ЯМ,vFYT0flL64
Наруцкая Катерина Андреевна,Венолайфт,0951-01-04,Chemical_84 Chemical_47 Chemical_3,Наруцкая_КА,wkddfsznxC
Набилкова Софья Борисовна,Дексаметазон,1625-08-25,Chemical_6 Chemical_96 Chemical_4,Набилкова_СБ,5Bjn70Yo4y
Меркулов Андрей Аркадиевич,Мелоксикам,1905-09-07,Chemical_46 Chemical_74 Chemical_56,Меркулов_АА,U2fVftUWjS
Скитский Вадим Викторович,Лоразепам,1725-10-11,Chemical_14 Chemical_81 Chemical_84,Скитский_ВВ,H1qEIK8BnW
Шаульская Надежда Максимовна,Дектанол,1077-04-05,Chemical_27 Chemical_31 Chemical_39,Шаульская_НМ,MABWfcFXt0
Распевин Константин Валериевич,Гидрохлоротиазид,1634-09-05,Chemical_31 Chemical_94 Chemical_68,Распевин_КВ,Vw4w5uAgGs
Агешкин Александр Романович,Бетаметазон,1403-04-27,Chemical_97 Chemical_18 Chemical_58,Агешкин_АР,vmeJ8PqtvT
Хайдина Маргарита Алексеевна,Бромгексин,1448-08-07,Chemical_71 Chemical_18 Chemical_99,Хайдина_МА,4Z2vlwaQI5
Духиева Алла Никитична,Гидрохлоротиазид,1163-04-13,Chemical_64 Chemical_11 Chemical_44,Духиева_АН,v64jMAVktM
Щуринова Ольга Вадимовна,Валацикловир,1171-09-14,Chemical_1 Chemical_26 Chemical_84,Щуринова_ОВ,VSmidMmwOF
Кеплина Наталия Борисовна,Витамин С,1811-03-23,Chemical_49 Chemical_75 Chemical_27,Кеплина_НБ,fUh9aB7SMN
Шелмаков Георгий Николаевич,Золаир,1188-05-12,Chemical_93 Chemical_31 Chemical_58,Шелмаков_ГН,EIimbdp3XZ
Лошадина Екатерина Евгеньевна,Жасмин,1783-12-14,Chemical_11 Chemical_44 Chemical_39,Лошадина_ЕЕ,f1hnbzki9l
Ароматова Анастасия Максимовна,Железа препараты,1239-07-25,Chemical_47 Chemical_7 Chemical_75,Ароматова_АМ,tJJdZyPEA9
Голыбина Оксана Михайловна,Евалар солгар мультивитамини,2022-02-08,Chemical_100 Chemical_14 Chemical_94,Голыбина_ОМ,oHMCMIfn4G
Кувыршина Валерия Игоревна,Золекс,1630-01-01,Chemical_64 Chemical_71 Chemical_27,Кувыршина_ВИ,xONUxTm3Sc
Хитьков Анатолий Петрович,Аллопуринол,1519-07-04,Chemical_87 Chemical_96 Chemical_19,Хитьков_АП,DfYRoM8TT1
Шибилкин Яков Кириллович,Антациды,1518-10-06,Chemical_83 Chemical_15 Chemical_80,Шибилкин_ЯК,W1IjzSonNp
Кереметин Вячеслав Тимофеевич,Зинорам,1637-04-21,Chemical_83 Chemical_25 Chemical_38,Кереметин_ВТ,ZRtsrUB5LY
Брокина Дарья Олеговна,Ацетилсалициловая кислота,1327-01-03,Chemical_8 Chemical_68 Chemical_90,Брокина_ДО,VP78mzf32G
Ачин Герасим Данилович,Гидрохлоротиазид,1014-01-22,Chemical_18 Chemical_70 Chemical_37,Ачин_ГД,C0JuitCE1W
Тановицкий Тарас Виталиевич,Тикалиптин,1762-03-15,Chemical_55 Chemical_91 Chemical_31,Тановицкий_ТВ,8gDnC4qJXR
Беломожнов Михаил Романович,Левотироксин,1072-09-24,Chemical_46 Chemical_12 Chemical_12,Беломожнов_МР,k6lIA1ynY8
Хорошилин Кирилл Фёдорович,Мезим,1820-07-08,Chemical_16 Chemical_44 Chemical_52,Хорошилин_КФ,arKW0i55VQ
Киржанкова Алиса Вадимовна,Виалар,1652-12-11,Chemical_76 Chemical_49 Chemical_89,Киржанкова_АВ,OrOVE0GzvG
Цуканов Иван Иванович,Венолайфт,1674-07-26,Chemical_9 Chemical_26 Chemical_26,Цуканов_ИИ,cb3t3xmEhA
Потешных Дмитрий Иванович,Колчицин,1097-08-05,Chemical_97 Chemical_4 Chemical_22,Потешных_ДИ,ruX0XQYO7R
Суряднова Виолетта Богдановна,Протоник,1700-07-01,Chemical_88 Chemical_25 Chemical_95,Суряднова_ВБ,kDCvecLVuI
Кажайкина Карина Эдуардовна,Парацетамол,1254-11-19,Chemical_52 Chemical_10 Chemical_70,Кажайкина_КЭ,GHLNaBg1vP
Рабовский Дмитрий Яковлевич,Витамин С,0924-02-08,Chemical_35 Chemical_80 Chemical_55,Рабовский_ДЯ,nWinpfJxWd
Едамов Аркадий Тимофеевич,Амоксициллин,1567-10-19,Chemical_10 Chemical_40 Chemical_23,Едамов_АТ,qSjgk0VKJ2
Столбова София Василевна,Атенолол,0940-07-17,Chemical_47 Chemical_34 Chemical_45,Столбова_СВ,h4N8OLYPoR
Смаркин Семён Андреевич,Золаир,1973-12-11,Chemical_66 Chemical_71 Chemical_50,Смаркин_СА,YEZoq22Ulr
Колтакова Алиса Максимовна,Иммунивит,1056-07-16,Chemical_52 Chemical_1 Chemical_80,Колтакова_АМ,erL0pNysU7
Фимошина Виктория Романовна,Левотироксин,1814-03-23,Chemical_72 Chemical_3 Chemical_59,Фимошина_ВР,27jJ7iJ8PF
Крыницкий Владимир Борисович,Омепразол,0959-10-21,Chemical_4 Chemical_20 Chemical_41,Крыницкий_ВБ,hDPRFLwm0n
Косых Жанна Михайловна,Пентоксифиллин,1449-09-05,Chemical_87 Chemical_89 Chemical_72,Косых_ЖМ,NJYOdPiXn1
Кваснинов Кирилл Адамович,Ретардин,1267-09-14,Chemical_22 Chemical_11 Chemical_68,Кваснинов_КА,oa9zDDfyxH
Чундерова Катерина Никитична,Колчицин,1755-10-02,Chemical_68 Chemical_17 Chemical_74,Чундерова_КН,Tv1ZS0PVHL
Худаева Виктория Богдановна,Диклофенак,1833-07-23,Chemical_29 Chemical_53 Chemical_96,Худаева_ВБ,4putxXZbrY
Хапилов Герасим Денисович,Пропанолол,1458-04-23,Chemical_10 Chemical_64 Chemical_91,Хапилов_ГД,spRjjsKHSS
Ордянская Елизавета Вадимовна,Енап,1926-02-14,Chemical_5 Chemical_9 Chemical_36,Ордянская_ЕВ,jWI49D7NXN
Бахматова Вера Борисовна,Гропирон,1575-12-23,Chemical_89 Chemical_82 Chemical_73,Бахматова_ВБ,Bq2sQfLZqa
Хатуцкая Галина Романовна,Урсофальк,1518-09-04,Chemical_81 Chemical_50 Chemical_46,Хатуцкая_ГР,RxZuWAkOOD
Левжинская Екатерина Кирилловна,Атенолол,1830-03-09,Chemical_98 Chemical_91 Chemical_74,Левжинская_ЕК,Dq7M6s0D0R
Колбиев Андрей Георгиевич,Миртазапин,1963-09-11,Chemical_91 Chemical_45 Chemical_71,Колбиев_АГ,OVIFelr2YC
Мамсуров Валентин Алексеевич,Урсофальк,1824-07-22,Chemical_73 Chemical_82 Chemical_41,Мамсуров_ВА,hDO1kjdWbD
Нягусева Клара Никитична,Бактрим,1971-09-01,Chemical_46 Chemical_84 Chemical_83,Нягусева_КН,aS98MnNrCc
Биклинев Никита Фёдорович,Евалар солгар мультивитамини,1124-08-10,Chemical_26 Chemical_95 Chemical_71,Биклинев_НФ,9QTHB1aH9H
Осоргин Григорий Денисович,Зылорик,1201-05-27,Chemical_63 Chemical_98 Chemical_69,Осоргин_ГД,UN52x4EEom
Поводова Вероника Федоровна,Лозартан,1520-08-22,Chemical_3 Chemical_5 Chemical_44,Поводова_ВФ,NSFrihjjwk
Шишанкова Алла Алексеевна,Бензоилпероксид,1115-02-04,Chemical_77 Chemical_66 Chemical_79,Шишанкова_АА,WfByk64mq4
Скарлыкин Павел Яковлевич,Золедроновая кислота,1037-07-04,Chemical_5 Chemical_93 Chemical_49,Скарлыкин_ПЯ,oqdpRhg2BR
Корельцев Валерий Адамович,Валидол,2021-11-07,Chemical_26 Chemical_60 Chemical_42,Корельцев_ВА,9QFcwTtRWy
Сочинский Владислав Антонович,Пилипен,1773-11-11,Chemical_97 Chemical_8 Chemical_73,Сочинский_ВА,OMok9dzhTm
Крамина Клара Дмитриевна,Мелатонин,1449-09-06,Chemical_85 Chemical_77 Chemical_17,Крамина_КД,ubV9g6nf3e
Мошаева Кира Валерьевна,Глюкозамин,1709-01-08,Chemical_25 Chemical_79 Chemical_11,Мошаева_КВ,FxLhPkMi60
Ахмадуллин Александр Евгеньевич,Амитриптилин,0960-12-26,Chemical_90 Chemical_77 Chemical_84,Ахмадуллин_АЕ,0NbtPssv9t
Бургов Иван Михаилович,Итрафунгол,1145-09-06,Chemical_26 Chemical_92 Chemical_80,Бургов_ИМ,zssAYwTbai
Мошевитин Юрий Виталиевич,Линезолид,1181-11-22,Chemical_48 Chemical_97 Chemical_5,Мошевитин_ЮВ,MPdEwLsnja
Макарова София Ивановна,Левофлоксацин,1331-02-21,Chemical_69 Chemical_61 Chemical_62,Макарова_СИ,IkzDm7Xtyx
Ганчева Кира Олеговна,Зылорик,1288-08-10,Chemical_39 Chemical_83 Chemical_73,Ганчева_КО,mp9N1mXhTS
Алятин Эдуард Романович,Кладрибин,1409-03-13,Chemical_51 Chemical_70 Chemical_29,Алятин_ЭР,fa74PVZNMn
Глинкин Владимир Викторович,Пентоксифиллин,1637-09-23,Chemical_11 Chemical_18 Chemical_63,Глинкин_ВВ,lU1N3dgPmH
Строгалев Леонид Вадимович,Пропанолол,1530-12-11,Chemical_31 Chemical_96 Chemical_91,Строгалев_ЛВ,bPjmBbbQas
Гирина Ева Никитична,Живина,1850-01-12,Chemical_94 Chemical_8 Chemical_86,Гирина_ЕН,rezfZAA4OU
Нецкина Елизавета Василевна,Вальтрекс,0901-02-23,Chemical_27 Chemical_12 Chemical_63,Нецкина_ЕВ,STEyNYzkqh
Тахтауров Эдуард Данилович,Норматен,1717-01-20,Chemical_92 Chemical_81 Chemical_32,Тахтауров_ЭД,NTb9mhpQXK
Новеньких Валерий Борисович,Азитромицин,1107-06-25,Chemical_98 Chemical_81 Chemical_70,Новеньких_ВБ,hbTCro8cJN
